Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms)
10-09-2024,121,867.9580958,6470.376641,37,37,,,,,0.617042796,1.847389351,0.25503715,9291,96.40000153,96.40000153,96.40000153,,3597666,
11-09-2024,93,2214.801273,5181.514751,28,28,,,,,0.697693987,1.877623812,0.259625524,7345,96.40000153,96.40000153,96.40000153,,4404096,
12-09-2024,114,2206.899517,5854.029477,26,24,,,,,0.596008756,2.006888365,0.27091359,8536,96.40000153,96.40000153,96.40000153,,4312091,
13-09-2024,46,2008.695336,1995.62197,2,2,,,,,0.741684187,1.592073345,0.259625524,3213,96.40000153,96.40000153,96.40000153,,1841216,
14-09-2024,89,2198.116329,5026.990015,25,24,,,,,0.617862025,2.085505535,0.255019504,7218,96.40000153,96.40000153,96.40000153,,3771774,189190
15-09-2024,57,2027.296743,2641.32535,2,2,,,,,0.499456915,1.671849262,0.27091359,4127,96.40000153,96.40000153,96.40000153,,2071266,
16-09-2024,34,1888.2678,1346.213281,,,,,,,0.530444479,1.749260992,0.338641955,2094,96.40000153,96.40000153,96.40000153,,339929,
17-09-2024,116,2261.983096,5356.043999,16,16,,,,,0.611619979,1.732727163,0.259625524,7849,96.40000153,96.40000153,96.40000153,,4995234,
18-09-2024,157,2438.603836,8996.358801,52,51,,,,,0.524578113,1.923630608,0.258285291,12687,96.40000153,96.40000153,96.40000153,,7200587,
19-09-2024,108,2224.768637,4972.758426,20,20,,,,,0.551888323,1.742082973,0.259625524,7471,96.40000153,96.40000153,96.40000153,,4534852,
20-09-2024,76,2060.60471,3150.882875,15,15,,,,,0.433080705,1.675895728,0.255113783,4842,96.40000153,96.40000153,96.40000153,576484,1873362,
21-09-2024,169,2453.603491,9154.044427,56,55,,,,,0.534784492,2.033103305,0.254962879,13097,96.40000153,96.40000153,96.40000153,,7384584,
22-09-2024,236,2564.456341,11245.20121,25,25,,,,,0.729491892,1.701365213,0.259625524,16597,96.40000153,96.40000153,96.40000153,,8769505,
23-09-2024,195,2595.647254,11551.07071,75,69,,,,,0.664538499,2.537116375,0.251911778,16433,96.40000153,96.40000153,96.40000153,,9158343,
24-09-2024,113,2206.077549,5045.033482,33,33,19.13586807,72.90684509,19.13586807,72.90684509,0.493092693,2.274814481,0.245691176,7389,96.40000153,96.40000153,96.40000153,1059407,2968196,90398
25-09-2024,119,2268.803256,6805.071257,37,33,,,,,0.674702545,1.966386635,0.259625524,9499,96.40000153,96.40000153,96.40000153,,4891920,77388
26-09-2024,111,2253.31001,5946.665298,20,20,19.13203239,72.90696716,19.13598824,72.91597748,0.61315545,1.692444626,0.245048736,9054,96.40000153,96.40000153,96.40000153,,4890660,
